,message,innovative
670,"BIST DU DER NÄCHSTE BEN & JERRY´S? Du bist Jungunternehmer, setzt dich mit deinem Start-Up-Unternehmen für einen positiven Wandel in der Gesellschaft ein und bist zugleich wirtschaftlich erfolgreich? Bewirb dich jetzt und gewinne10.000 € + Logo auf der nächsten Ben & Jerry´s Sorte und und und... ➡ www.benjerry.de",0.3296182218439981
990,"Auch direkt bei Ben&Jerry´s haben europaweit Nachwuchs-Sozialunternehmer die Chance auf 10.000€ und ein sechsmonatiges Business-Coaching von Ashoka, ein Trip in die Ben & Jerry’s Heimat Vermont als besonderen Clou werden die Firmenlogos der Jung-Unternehmer auf der neuen Ben & Jerry’s Sorte in 2014 abgebildet – ein echtes Privileg und ein einzigartiger Werbeeffekt!",0.3227517617566629
518,Der Beweis: Auch in Hollywood zählen noch die inneren Werte.,0.32269759020435623
649,"Unsere Finalisten stehen fest! Bettervest und Foodloop fahren für uns nach London zum ""Bist Du der nächste Ben & Jerry's"" Finale! #joinourcore ---- Mit diesen fairen Start-Up Ideen haben sie uns überzeugt: FoodLoop ➡ bit.ly/Foodloop Bettervest ➡ benjerrys.co/1x2QHAc",0.31476737536641064
435,Schokotöne sind ja gerade voll im Trend.,0.3004248043223972
108,Cooler als jeder Trend: unsere 12 ältesten Sorten.,0.29782684775963864
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.2946887760375484
474,"Rettet die Erde! Sie ist der einzige Planet mit Ben & Jerry's! Kommt zum Berlin: Global Climate March, damit die Nationen bei der UN-Klimakonferenz was unternehmen.  Zum Event: benjerrys.co/marchberlin",0.2816661381230988
370,Feiern wir immer noch mega ab: unsere neuen Son of a Wich. Natürlich fairtrade und unwiderstehlich!,0.2804678105611525
469,"Ihr auch? Dann kommt alle zum Berlin: Global Climate March und sorgt dafür, dass die Weltklimakonferenz gut ausgeht. Zum Event: benjerrys.co/marchberlin",0.2798787288451273
170,Feiner Schachzug. In Zukunft gibt es dann nur noch geschmolzenes Gletschereis.,0.2781440054374006
246,Die inneren Werte zählen.,0.2683156966191666
891,Ab 25°C zählen nur noch die inneren Werte!,0.26831569604160344
583,The Big Bang Theory wird euch präsentiert von Ben & Jerry's.,0.2654567179883979
578,The Big Bang Theory wird euch präsentiert von Ben & Jerry's.,0.2654567179883979
