,message,appetizing
429,Schmeckt wie frisch gepflückt.,0.7201431771968112
176,Liebe schmeckt jedem anders.,0.6925344187167242
400,Uns schmeckt jede Liebe!,0.6925344179847355
257,"Vielfalt schmeckt besser als Einfalt. Wer das genauso sieht, darf sich auf eine neue Sorte Ben & Jerry’s freuen. Was da drin ist, erfahrt ihr hier...",0.6681593672787945
50,So klein und schon so lecker.,0.6634938602758146
1217,"Heute wollen wir euch exklusiv unsere neue Sorte für 2011 vorstellen: Coconutterly fair, das ist Cremige Schokoladeneiscreme mit einem Kokosnuss-Karamell-Strudel und knusprigen Karamell-Kokosnuss-Stückchen!",0.6620772162667262
1248,Wir wünschen Euch allen ein kuhles Wochenende mit gaaannnzzz viel leckerem Eis <3,0.642837465898604
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.6363566900643922
819,"Am besten schmecken Brownies gekühlt, oder?",0.6323101455319609
1215,"Aufgepasst Eisliebhaber! Ab sofort ist das neue Ben & Jerry’s Wich erhältlich! Das Wich ist cremiges Vanilleeis mit Schokoladen-Stücken zwischen zwei saftigen Chocolate Chunk Cookies. Und wie es sich für Ben & Jerry’s gehört, ist das Wich natürlich auch Fairtrade! Wir sind gespannt wie es euch schmeckt...?",0.6242756154638139
483,"Vorsicht: Nicht erschrecken, wie lecker Ben & Jerry’s Cinnamon Buns schmeckt!",0.6233530231506436
209,Manchmal schmeckt Erwachsen sein gar nicht süß.,0.6150937769858692
69,So schmeckt der Frühling.,0.6115878152607076
1036,"Lust auf Kino oder nur auf´s Sofa ? Aber sicher ist ein leckeres Ben&Jerrys dabei ? Oder ? Dann gebt uns ein ""Gefällt mir"" - Danke",0.5985065140364283
1234,Wir von Ben & Jerry’s wünschen Euch einen schönen Feiertag und schon mal ein tolles Wochenende! Ihr könnt Eure Bollerwagen für die Tour am Vatertag ja zur Abwechslung mal mit leckerer Eiscreme füllen ;),0.5889513154329127
