message,created_time,active,alive,arts,vegetables,beautiful,big,blue_collar,career,cheap,children,closed,community,cool,culture,descriptive,design,innovative,responsible,appetizing,ecological,emotionally_stable,evaluating,expensive,extroverted,family,fascination,female,friendship,functionality,healthy_positive,healthy_restrictive,winner,flavor,kind,lifestyle,loyalty,funny,male,mental activity,modern,music,music_genres,musical_instrument,sustainable,natural,new,diligent,performance,pleasant,bargain,polite,positive,power,practical,protective,likeable,safety,science,see,show,sensual,sport,sporty,appealing,teaching,technical,open,traditional,individual,heritage,trendy,trust,trustworthy,uniform,easy,valuable,warm,white_collar,young,social justice + migration,social justice + dairy free vegan,values,url
"The world needs more of this kind.
.
.
.
#ethicalfashionweek #berlinfashionweek #berlinfashionweek2018 #ethicalfashion #ethicalfashionblogger #greenfashion #fashionweek2018 #fashionweek #fashionweekberlin #ethicalclothing #fashionchangers #socialchangers #ethicalfashionshow #lemonaid #drinkinghelps",2018-07-05T09:49:18.000Z,-0.12132840230019692,-0.2010459486543971,-0.08406016243678507,-0.1689188654512353,-0.18595121375105894,-0.11615052968464468,-0.055451709210686526,-0.18920802360885164,-0.06838918556258508,0.12782229489167884,-0.1401255620610804,-0.1137045085997186,-0.09724902680115607,-0.0431200244399718,-0.15002718130182593,0.07739592496027804,0.14340091295163376,-0.18609334910444067,-0.1948945952758243,-0.1173275858075403,-0.13955375283807275,-0.2336385216036635,-0.10268026457679967,-0.14726477547887662,-0.1455676525353095,-0.1305600320756526,-0.09335400745035348,-0.16774406473544146,0.11796774571813097,0.03499467918494318,-0.09359059344046664,-0.1333875214190251,-0.22091803134737087,-0.21813886732018584,-0.04881348989855231,-0.09602330658840318,-0.12199018518704048,-0.1333316035881548,0.022301422897022832,-0.17579343334879186,0.07251279592080065,0.2514832297760595,-0.13941980667204198,-0.11792080302862705,-0.18412586496310307,-0.17116701341817198,-0.18488383086978735,0.16710011578011538,-0.2144014217909542,-0.07780645706231235,-0.1307342891200682,-0.11104040440873933,-0.04736208382079831,-0.21203132215361667,-0.21760458430184865,-0.18449991470432334,-0.22679499167248865,-0.04334321802103823,-0.007496885508132359,0.10854545051670056,-0.13062938535014088,0.034749068712051606,-0.05697576743091056,-0.16267314683312542,-0.17372415131607685,-0.10945434796956248,-0.1392591595430992,-0.19657303806617105,-0.2282272482842517,-0.18990545909649528,-0.02618237933742735,-0.16871033562940874,-0.10670788927347076,-0.16684279759120305,-0.14858932093071187,-0.1476190328631965,-0.13010548048317408,-0.0589982483078277,0.06135308451749105,-0.08562613386822635,-0.0544624039913359,-0.07610934331202011,https://www.facebook.com/search/str/The%20world%20needs%20more%20of%20this%20kindethicalf%20ben%20jerry/keywords_search
Check out the new episode of our #upcycling tutorial we did together with the fabulous @ghostbastlers #ikeahack #ikeahacks #planterbox #lemonaid #drinkinghelps,2018-07-03T15:14:00.000Z,-0.14194478195598134,-0.2942977487907504,-0.13073218468928113,-0.17935850581451776,-0.2382334714747452,-0.19631940784627236,-0.0463090179141068,-0.2735062246635721,-0.1180644581975858,-0.12125403592307014,-0.104476043507362,-0.2169680187752799,-0.111324381530048,-0.2155307924313917,-0.21368879133590946,0.031817420248574035,0.1276095705757546,-0.2618048918500215,-0.21255529239831197,-0.17190374274889947,-0.2389573489897316,-0.25894997006120074,-0.1574133443478138,-0.22865761965651374,-0.26610763502491663,-0.21117058838841485,-0.2482715378115998,-0.2288990749481353,0.10669844621843397,-0.030936517788279588,-0.17795383573666726,-0.17837498303907062,-0.19900589471182448,-0.2810798354767249,-0.238696585507952,-0.17397719555462804,-0.12097654684726945,-0.24289507555480824,-0.14747718645998614,-0.2540854461376881,0.13335108303766088,0.3044540451020553,-0.07306331891510108,-0.1805634653665861,-0.23150337869911994,-0.2523897027663068,-0.19161955606273,0.13081416567070858,-0.3411432310684981,-0.10450766834180432,-0.23948678707030646,-0.158824400107431,-0.17025103255147275,-0.2494310021680388,-0.2710046501324237,-0.2792658576169741,-0.16797006525021654,-0.045774722903768855,-0.056174316274565976,0.0949745134014554,-0.2008725187007735,0.0007732538915393742,-0.19813886642164347,-0.2159271941076966,-0.1973569836074421,-0.1002519828976358,-0.192717642633348,-0.2373213910300106,-0.2933104979075737,-0.2180583621176526,-0.11185772577133002,-0.22585601117178475,-0.1880469275441928,-0.2668214260756167,-0.1598632580277019,-0.22611615575805302,-0.203536032356614,-0.13853048770484813,-0.07770440046186443,-0.17573956640208374,-0.16133263781982649,-0.18044491249308509,https://www.facebook.com/search/str/Check%20out%20the%20new%20episode%20of%20our%20upcycling%20tutori%20ben%20jerry/keywords_search
"Ian of @mightyoaksmusic on cat videos with a million views vs. pictures of starving children in Africa with none. #myutopia #lemonaid #drinkinghelps #mightyoaks #msdockville2017 #dockville
_____
The whole ""My Utopia"" interview we did with the boys at @dockville Festival: https://bit.ly/2JzzzjE",2018-06-30T14:51:53.000Z,-0.1827642599028974,-0.3062907734625783,-0.03904073035351458,-0.1709324536849041,-0.2812717980828596,-0.21534471131723332,-0.11818887194060015,-0.3078205813484625,-0.1238408328223523,-0.1451475786037897,-0.15527063929299234,-0.16836463914366492,-0.17206871213033564,-0.16920901944823585,-0.23019246509445915,-0.0679094735861603,0.11349987273238475,-0.28104493470350383,-0.2656139870672371,-0.17473825757015735,-0.16724287212394195,-0.2918876638615811,-0.1990982943092523,-0.23210498819600697,-0.26437657282220844,-0.2003272229667954,-0.25604187409107737,-0.18412307909556708,0.03632363649405973,-0.051264351118213945,-0.20643110218176086,-0.12012112449118753,-0.20520876630425475,-0.30099787155736696,-0.1892200012645376,-0.1217841743275096,-0.056239466915802325,-0.18399652408161368,-0.14576620148534164,-0.2820246569753607,0.19576260073397767,0.37159401671761455,-0.0476321349653844,-0.23149322045831094,-0.2522343981472977,-0.2965366063064981,-0.2344255077825123,0.16804742047292975,-0.3141107394173279,-0.15795487777181513,-0.19710735411138328,-0.2260234427305205,-0.13614626232174315,-0.3489376753569649,-0.3145502273750381,-0.2864344820713274,-0.25867570070521223,-0.027341351537619855,0.022292700183577815,0.20169610901334425,-0.1971783522366658,0.017174937203013656,-0.2261429880895119,-0.2604698076006357,-0.23613422810789206,-0.11869070505702115,-0.2164507641188226,-0.27634356179849523,-0.2913027910391029,-0.262485981258874,-0.201856552048783,-0.23671872070061364,-0.16613429951364622,-0.2699842734066427,-0.2679922405056297,-0.2571932446600947,-0.14216688876789155,-0.13680892364601616,-0.10465633716056023,-0.1247884261280872,-0.1463766479010562,-0.21034864200204156,https://www.facebook.com/search/str/Ian%20of%20mightyoaksmusic%20on%20cat%20videos%20with%20a%20milli%20ben%20jerry/keywords_search
Festival season is on fire. We have the perfect lime-up. #lemonaid #drinkinghelps #festivalseason2018 #festivalstyle #festivallook #festivaloutfit #festivales,2018-06-29T10:30:14.000Z,-0.13108057259397346,-0.29799295604965426,-0.07709461724649927,-0.14061197753161006,-0.21228410388383748,-0.17385220498717918,-0.08235058609738054,-0.32190972885665364,-0.039620626596292,-0.14411473675937966,-0.12830839182595805,-0.18505601440732486,-0.10813981902039158,-0.15557849939074528,-0.2438930275877612,-0.011892625937845193,0.1268393544150671,-0.2681120427796004,-0.16876260939306365,-0.09687943013067464,-0.2040151838509023,-0.2592249228021818,-0.14232929139852554,-0.23876051224283534,-0.2699468587255439,-0.1898032510118244,-0.2339833770864688,-0.20841850692957067,0.12920432935840315,-0.007186689211533838,-0.1591412045016736,-0.09237636284326367,-0.1437113644273829,-0.2643726588245037,-0.22913550797966298,-0.1268319918857276,-0.1327146328204584,-0.2022547159967981,-0.16132775481319972,-0.2412567714279621,0.2065733442111491,0.4043018870101795,-0.0461313682053958,-0.16896960422818502,-0.20804988428693272,-0.1899839211853371,-0.2286818891278333,0.18110691072724666,-0.29128165328217065,-0.05003056097708864,-0.2042810893962617,-0.1770632973455281,-0.14751925121252585,-0.3090607971183599,-0.23123259632989124,-0.2410387183782101,-0.1861949883064482,-0.07789372435295552,-0.00750441101520822,0.16544594027231946,-0.1440337706815999,0.07186949286777887,-0.17746570161382522,-0.16083598361486875,-0.2538875119366068,-0.0931576366799296,-0.2077094970227184,-0.22092406876229329,-0.24913503374165494,-0.21488411859024328,-0.12020420395376195,-0.2336192763427083,-0.1708828493441544,-0.2519262443599178,-0.1823272244376779,-0.16742677073818182,-0.2013049317032428,-0.20405161052091253,-0.03680132758613081,-0.2244255995970557,-0.1771718235035498,-0.161221194435118,https://www.facebook.com/search/str/Festival%20season%20is%20on%20fire%20We%20have%20the%20perfect%20li%20ben%20jerry/keywords_search
"Don't forget your greens. 📷: @gingerella_gini •
•
•
•
•
#lemonaid #drinkinghelps #cleaneating #cleandrinking #cleeanfood #drinkyourveggies #healthydrinks",2018-06-26T08:05:59.000Z,-0.073069112232632,-0.17531457534981984,-0.046173982827976585,-0.045363432869839314,-0.14443334845339997,-0.16647075833077615,-0.08132395096629398,-0.1256248396223274,-0.1098113054934372,-0.046656511924175186,-0.07059937075880357,-0.13444221393689007,-0.03838743486267402,-0.07870483529426424,-0.11795671814521312,-0.03409661909732998,0.010723362166434292,-0.11916162755086135,-0.08654995518142063,-0.0984988760710723,-0.16630230330605553,-0.13052630127621667,-0.08176036089292521,-0.1310383390287648,-0.14260251574059205,-0.10619131662270524,-0.14803357157671573,-0.0959262271023245,0.04103303013404501,0.0586499314700755,-0.048704182824872745,-0.026981036227678182,-0.08860355187330098,-0.18361350619449765,-0.053586018365610534,-0.07902274416511461,-0.049098909106696134,-0.1444412796320683,0.005116471455347426,-0.17613946450090012,0.10563787854886128,0.22281568674267024,-0.0598278897633306,-0.09517498143793722,-0.13209494489808446,-0.18606595943014076,-0.14642610109018953,0.06826091264225337,-0.1535609801884774,-0.10720705759715594,-0.12064974680008245,-0.11812883243536455,-0.08358717184145734,-0.2305303133055,-0.16165889660968402,-0.15147110627598925,-0.19470426760609671,-0.08730925120387127,-0.0521978450082296,0.08794645786363836,-0.0804005959898718,-0.016502361561081064,-0.12259123899830485,-0.14032348389829466,-0.12195557121219808,-0.09673562993086186,-0.09677476936768116,-0.15267048791396295,-0.14076170567424598,-0.13742011562131273,-0.13431447307035638,-0.11079680212793397,-0.055760841017096816,-0.16304986151873518,-0.08488709049879059,-0.13918219170421753,-0.0966859564178994,-0.10423884835878286,-0.06475120823763576,-0.06341186600028484,-0.00706261200412702,-0.04403979138333126,https://www.facebook.com/search/str/Dont%20forget%20your%20greens%20%20gingerellagini%20%20ben%20jerry/keywords_search
The Lemonaid DRINKING HELPS idea in a nutshell.,2018-06-21T19:09:30.000Z,-0.16515768544303402,-0.21733039734139156,-0.16848801326870158,-0.15269965137559074,-0.2410961936247753,-0.1621533859387828,-0.06299306843882688,-0.12523098386194,-0.11355934945432647,-0.08627610969064302,-0.07842418278544698,-0.15707494676149675,-0.1003569849253384,-0.1727230557057969,-0.24098244362492266,0.05343004743294991,0.11428990587124555,-0.1747525361573407,-0.15891388654285632,-0.1484874136143091,-0.19858783326202697,-0.1930549701810125,-0.14812066459661127,-0.1572785896663011,-0.27374165670454265,-0.23025348087125005,-0.2411151596807625,-0.22068479751884132,0.10091542808125632,0.08571008992332546,-0.07664357411106107,-0.14157521121716402,-0.2111052667846926,-0.2598507377275593,-0.1677934424479521,-0.17912920281358607,-0.09452050286543114,-0.18912701652544908,-0.08257891838914623,-0.2463217255580232,-0.0200919252766908,0.17687942267525386,-0.13847185781936133,-0.11921489233041005,-0.22328316228187714,-0.27445863234766393,-0.19687639278190555,0.00027392401825802073,-0.3377759642865435,-0.1523956842375954,-0.16275833548862656,-0.06751652079781591,-0.11819895978750425,-0.21368477159359475,-0.2370965509194503,-0.2494736147757564,-0.19678717583120267,-0.05496582174823352,-0.1594534871752974,-0.05143193033830746,-0.2483804980185196,0.013260854431440691,-0.15919578329370404,-0.25791516048826524,-0.16318889700764305,-0.12536425724181385,-0.1977895948979404,-0.2523366649626049,-0.30005025555879394,-0.1939216809390485,-0.16003220927328335,-0.2043675466120405,-0.11885972138626914,-0.19447383912149646,-0.15258389644585227,-0.2503812177234861,-0.20600365053170494,-0.02338514985430104,-0.1068551994273464,-0.10123639221631883,-0.1113609991414778,-0.061322758373889986,https://www.facebook.com/search/str/The%20Lemonaid%20DRINKING%20HELPS%20idea%20in%20a%20nutshell%20ben%20jerry/keywords_search
"Voilá - a macramé plant hanger made of a Lemonaid bottle and some strings. Download your step-by-step-tutorial here: bit.ly/LemonaidUpcycling 📷: @ghostbastlers
#lemonaid #drinkinghelps
•
•
•
•
•
#upcycling #homedecor #finditstyleit #diyideas #upcycled #currentdesignsituation #diydecor #decor #diys #upcycle #jungalowstyle #homedesign #interior #apartmenttherapy #sodomino #interiors #decoration #jungalow #bohohome #instahome #homestyle #instadecor #homesweethome #interiordecor #interiorstyling #recycle #homedecoration #homestyling",2018-06-19T11:38:28.000Z,-0.055427762728635636,-0.1933311453918468,-0.11230031982723028,-0.12706246928567488,-0.1578501591367771,-0.12406796862162538,-0.07219949162472962,-0.2667439353159024,-0.07767535459208892,-0.08319657154843049,-0.08834168834101741,-0.19271024172187526,-0.06913434068675277,-0.1624831994888467,-0.14121926931819753,0.14940478763476125,0.12033716423690102,-0.1483075106128711,-0.1906573852369243,-0.0896353343022775,-0.2301848175293653,-0.2100398672598271,-0.11572074603101218,-0.22601128308165735,-0.2482984780434612,-0.11154684651186028,-0.2431443839411433,-0.2905691326758192,0.15632035046126622,-0.02661379543882965,-0.1197788388897474,-0.1873603691769192,-0.18323221185654665,-0.2460554187500889,-0.1985583881895656,-0.17563556348546255,-0.13664141138296626,-0.3046427616651116,-0.09571231305710982,-0.19268835552985786,0.11469087153964065,0.2576236189552386,0.004509057161188783,-0.05785056985304339,-0.1188179970568526,-0.18982610955218754,-0.16710803078852,0.03658111155225335,-0.3156677451457278,-0.1333532716433449,-0.21363407764572312,-0.15646608011143778,-0.15118439544964565,-0.19156763092563855,-0.1992858524000346,-0.25569945032753305,-0.0895158922068604,-0.04647669867798087,-0.10377914140168984,-0.02951284193278865,-0.11018895285619752,-0.058974009286211326,-0.14608604661970045,-0.13900726162239213,-0.15264537675883252,-0.02222403469103679,-0.0746752670915035,-0.1882238106895078,-0.22260407042689007,-0.15349235959772853,-0.028945948105850574,-0.1792010183735088,-0.15912532075834415,-0.18618572432258013,-0.09765681885932634,-0.2045204103206257,-0.11713922282692756,-0.1917225603954402,-0.019606416111846398,-0.224588903278996,-0.11366776284851746,-0.14911901101465386,https://www.facebook.com/search/str/Voil%20%20a%20macram%20plant%20hanger%20made%20of%20a%20Lemonaid%20%20ben%20jerry/keywords_search
We make summer even more colorful. See how the wonderful @ghostbastlers turned a #lemonaid bottle into a vase. Get your step-by-step-tutorial here: bit.ly/UpcyclingVase 📷: @ghostbastlers #drinkinghelps #diy #doityourself #homedecor #upcycling #upcycled #upcycle #recycle,2018-06-15T10:29:00.000Z,-0.06587928535753303,-0.2159884988403513,-0.12333917046280984,-0.11647789148091325,-0.15064115807292627,-0.14098269153945608,-0.0788346318712375,-0.2785796828471034,-0.07339401786776292,-0.07941092581631455,-0.10012277071724172,-0.2038536514574273,-0.06524315283167206,-0.1868524830989593,-0.1774656000722713,0.09339384872943376,0.10345386688622324,-0.20744639411646845,-0.18236784633850547,-0.07923503576527363,-0.22772742829779766,-0.2539636220120698,-0.13517334536461054,-0.2357795036275895,-0.2709398352850237,-0.1406572332619042,-0.23855235806901506,-0.2716412816374005,0.12767064513735962,-0.004100074750210732,-0.13579256246153062,-0.1849045832425037,-0.17342586535654547,-0.2482430026942584,-0.20302771156802227,-0.18426502425207636,-0.11854606408291575,-0.2934281994652781,-0.09035457683962086,-0.2350712863675044,0.11524164034427828,0.2666233708729201,-0.0560034837684657,-0.09804387351689922,-0.14878759603574884,-0.23215186863245435,-0.19748672596352834,0.06622484208879079,-0.2979841399500899,-0.12174352202237153,-0.22070588102398705,-0.14882766556446328,-0.15549708143919874,-0.22096554089449216,-0.22024526652035614,-0.26197216726407424,-0.13697974182182898,-0.049266538714105926,-0.10112189596865534,0.006769551299499012,-0.12028509671777725,-0.007787980718685371,-0.13479044740417162,-0.17426189765573644,-0.16424146880898655,-0.0725881113427531,-0.11921239163805145,-0.2093395375720719,-0.2496230962370017,-0.17630370657879468,-0.051126003523568934,-0.18660825471829945,-0.17148201952702571,-0.2345137295680353,-0.10980165018009247,-0.22333816343799254,-0.1414112334631348,-0.18291374611531516,-0.009177473000274043,-0.2082754959581322,-0.1406139969372463,-0.15983157367885953,https://www.facebook.com/search/str/We%20make%20summer%20even%20more%20colorful%20See%20how%20the%20won%20ben%20jerry/keywords_search
"Wir begleiten Skaterin @caroline.dynybil auf ihrem Weg zu den Olympischen Spielen 2020. Sie hat uns erzählt, wie sie zum Skaten gekommen ist - und warum Frauen das Boarden bereichern. Trinken hilft. Skaten auch. Seht selbst! #lemonaid #skateaid #trinkenhilft #skatelife 📷: Yvonne Labedzki 📷: Iris König",2018-06-14T18:46:29.000Z,0.461782453959257,0.40693248870007853,0.3866649711671037,0.2499540177002891,0.5496196761787485,0.4001896714876708,0.12983532321066613,0.2241922581600232,0.09731131909318178,0.4302077418147691,0.22326567562736607,0.3455905372905499,0.4583826244231134,0.4016788598397026,0.43634652645436706,0.2361564412202821,0.08679382969879879,0.33265758913887034,0.3571695152418965,0.3625512802859756,0.4122555022127382,0.2162748947062012,0.2441597611398613,0.3761603559065543,0.5825282890242429,0.5201999280730788,0.6256927464581159,0.5158275738411198,0.035290945458470564,0.19782964481452575,0.25277829730518825,0.2592354279773437,0.3731557368126416,0.4971692931532965,0.5976309966525668,0.3273988231670815,0.4004410254381798,0.4965973593157106,0.41910054928892937,0.2726168200324836,0.2885962119110602,0.0035279890204412937,0.18972548878037804,0.2551333855435989,0.4560446685520327,0.2799926768385628,0.24843216133709425,0.3143736256552289,0.7022070803359276,-0.06598889633410424,0.4394402448376807,0.19267919495592525,0.2892050967414969,0.3595209808151815,0.3303474037286549,0.6447145342247776,0.12354983577345025,0.12214986374053903,0.4872548869485101,0.27925854897614183,0.4661492007065929,0.2854738795778557,0.5199428830979788,0.5031872292889387,0.4301283176121626,0.06695017705490575,0.42016879114810207,0.4108898108668452,0.44214626177585575,0.3351382741586973,0.4232859827334888,0.3966380610209867,0.27434190253447593,0.20911330430615266,0.35397806167364826,0.4231148301331128,0.5197738142082015,0.2404217051178653,0.4591912602603875,0.27398338321811233,0.3353612312206273,0.3619123414038852,https://www.facebook.com/search/str/Wir%20begleiten%20Skaterin%20carolinedynybil%20auf%20ihrem%20ben%20jerry/keywords_search
Word. 📷: @variousandgould,2018-06-14T06:23:30.000Z,-0.0174041355412451,0.01648505844648268,-0.054927590385840115,-0.1280975012096508,-0.15981339202858766,-0.0890248592137404,-0.0051230943011110535,-0.029212793097813945,-0.11512270857779094,-0.055611771550295765,0.018081520832750532,-0.062044276897650075,-0.0352075497587929,-0.10422317170873058,-0.006823384006813161,0.03664722057681638,0.011800928582000304,-0.1059065061043297,-0.13430398428996354,-0.16914237218091355,-0.10249078114437224,-0.09770696073680296,-0.12791340372700455,-0.02857279649859393,-0.15359823592022498,-0.09204899321594864,-0.17017950431225598,-0.08482610581452321,0.00699046023994677,-0.02846032090278869,-0.041821296599747496,-0.16428108518797446,-0.09675088984336487,-0.10988921141412,-0.0487717645327535,-0.01318801114211845,-0.0366417191862473,-0.1528261732417491,0.028981091939006463,-0.1148870880497009,0.08644580651278266,0.1031075742173082,-0.03589636330339921,-0.05367566580631997,-0.014080275212875882,-0.16170922360630705,0.03392997501095491,0.004630634476460103,-0.1829786879538076,-0.1537560398241444,-0.06706723176663415,-0.008242621425756795,0.0013721672416037234,-0.0788828423590738,-0.12412972611092304,-0.13723608709336169,-0.1345287435920196,-0.054039695969354005,-0.08472510490191727,-0.04065456826062817,-0.06045109585881255,-0.034678571033613506,-0.08035544264985192,-0.09980144539438536,0.06700102172801313,-0.012011125260307844,-0.02007151999309316,-0.08025987812608615,-0.1073900237656507,0.06734306356941945,-0.07747728567002941,0.005729269669461604,0.06171519450908387,-0.01424178254368664,0.05468789067960096,-0.13382791408008715,-0.06310512024944391,-0.09713558141508503,-0.10445916694855732,0.0041076345091275845,-0.06665458496775617,0.06636867019940698,https://www.facebook.com/search/str/Word%20%20variousandgould%20ben%20jerry/keywords_search
