,message,modern
998,Bist du der nächste Ben&Jerry‘s? Gemeinsam mit Ashoka suchen wir europaweit Nachwuchs-Sozialunternehmer mit einer spannenden Businessidee mit nachhaltiger gesellschaftlicher Wirkung. Dem Gewinner winken unter anderem 10.000€ und sein eigenes Firmenlogo auf einer neuen Ben & Jerry’s Sorte! Alle Infos unter www.benjerry.de!,0.5294771845256193
960,"Ben&Jerry´s Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 26. Juni von 14-20 Uhr in Berlin! Wir stehen vor der Technischen Universität, Straße des 17. Juni 135. Wo der Bus auf den Meter genau steht, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.5214459184840967
422,Für unsere neue Erfindung musst du Eis essen völlig neu erlernen!,0.5154684517934681
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.5003179194347906
962,"Ben&Jerry´s Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 24. Juni von 14-20 Uhr in Dresden! Wir stehen vor der TU in der Bergstraße 51, vor der neuen Mensa in Dresden. Wo der Bus auf den Meter genau steht, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.4998214763385081
1138,Tadaaaaaa. Mit stolzgeschwellter Brust und bereits gezücktem Löffel präsentieren wir unsere 3 Neuen…,0.4990073497588362
513,Für unsere neuen Cookie Core Sorten müsst ihr nicht in die Zukunft fahren. Nur in den nächsten Supermarkt.,0.4844614592593071
228,Wir haben ein paar Fundstücke aus längst vergangenen Eiszeiten für euch ausgegraben...,0.4771898103982185
957,"Ben&Jerry´s Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 28. Juni von 14-20 Uhr in Hannover! Wir stehen am Platz der Weltausstellung in Hannover. Wo der Bus auf den Meter genau steht, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.4754723781008062
170,Feiner Schachzug. In Zukunft gibt es dann nur noch geschmolzenes Gletschereis.,0.4732433464992789
966,"Ben&Jerry´s Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 20. Juni von 14-20 Uhr Dormund! Wir stehen in der Fußgängerzone vor der Reinoldikirche. Wo der Bus auf den Meter genau steht, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.4713266925190286
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.4695056028488298
964,"Ben&Jerry's Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 22. Juni von 11-17 Uhr in Münster! Wir stehen ab 11 Uhr vor der Uni Mensa am Aasee, Bismarckallee 11. Wo der Bus auf den Meter genau steht und sich bewegt, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.4689650542004156
977,"Ben&Jerry´s Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 8. Juni von 17-22 Uhr in München! Wir stehen in München auf dem Odeonsplatz.  Wo der Bus auf den Meter genau steht, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.4681615239838078
968,"Ben&Jerry´s Core Tour – wir verschenken Eis! Kommt vorbei und bringt eure Freunde mit! Am 18. Juni von 14-20 Uhr in Köln! Vor der Uni geht´s los. Wo der Bus auf den Meter genau steht, alle aktuellen News aus dem Bus und leckere Fotos seht ihr dann immer live auf www.benjerry.de",0.4636842753792401
