,message,safety
77,Den Weg nach draußen kannst du dir sparen: im Kühlschrank ist es genau so kalt. ...,0.5403347732379619
659,Wer braucht was zum anziehen? Einfach 3 Deckel einschicken und T-Shirt erhalten! ➡ bit.ly/Mit3dabei,0.3537953460548257
652,Braucht hier irgendwer noch was faires zum Anziehen? Einfach 3 Deckel einschicken und T-Shirt erhalten! bit.ly/Mit3dabei #fanfotos #freeshirts,0.3463744920781773
394,Ben & Jerry’s? Aber sicher!,0.3338766413064358
593,"Schon die neuen Cookie Cores probiert? Dann hilf auch anderen, unsere neuen Sorten zu finden! Einfach Ort und Sorte im Shop Finder eingeben. Teilen lohnt sich!",0.315871779236809
1047,Kommt in die Hufe! Europas Milchkühe brauchen Eure Hilfe! www.happycows.eu/de,0.3157775172860193
671,"Wer braucht was neues zum Anziehen? Ganz einfach 3 Deckel sammeln, einschicken und Ben & Jerry's T-Shirt bekommen. Den Umschlag gibt's hier zum Ausdrucken: http://bit.ly/Mit3dabei",0.3113395834922972
174,"Keine Liebe ist illegal! Gemeinsam haben wir die einmalige Chance, die Ehe für alle in Deutschland möglich zu machen. Dafür brauchen wir jetzt deine Hilfe.",0.303528507246637
617,Sogar am Valentinstag hat es manchmal Vorteile Single zu sein...,0.30092301044290826
669,Ben & Jerry´s T-Shirt gefällig? Ganz einfach: 3 verschiedene Deckel sammeln ➡ Einschicken ➡ T-Shirt bekommen. Den Umschlag gibt's hier zum Ausdrucken: bit.ly/Mit3dabei,0.29217413122215824
662,Ben & Jerry´s T-Shirt gefällig? Ganz einfach: 3 verschiedene Deckel sammeln ➡ Einschicken ➡ T-Shirt bekommen. Den Umschlag gibt's hier zum Ausdrucken: bit.ly/Mit3dabei,0.29217413122215824
1023,Was machen wir nur morgen bei diesem grauen Schmuddelwetter ?,0.2867734419482337
455,Ich liebe dich. Ich weiß.,0.2824973218083146
446,Im Heißhunger-Notfall: Einfach Scheibe einschlagen!,0.2798894162497713
1002,Wofür würdet ihr euch entscheiden? :),0.27924972423199396
