,message,technical
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.4390770963760241
670,"BIST DU DER NÄCHSTE BEN & JERRY´S? Du bist Jungunternehmer, setzt dich mit deinem Start-Up-Unternehmen für einen positiven Wandel in der Gesellschaft ein und bist zugleich wirtschaftlich erfolgreich? Bewirb dich jetzt und gewinne10.000 € + Logo auf der nächsten Ben & Jerry´s Sorte und und und... ➡ www.benjerry.de",0.3740919744244461
422,Für unsere neue Erfindung musst du Eis essen völlig neu erlernen!,0.3673719145098925
151,Wir verwenden ausschließlich Topped Zutaten. Und davon sehr viele. Jetzt neu!,0.3624073076293096
891,Ab 25°C zählen nur noch die inneren Werte!,0.3509210495483864
246,Die inneren Werte zählen.,0.3509210474779602
75,Nicht nur beim Eis zählen die inneren Werte.,0.3494469450037617
1260,"Nachdem das erste Cowmobile abgebrannt ist, kam im darauffolgenden Jahr die ""Cow II"" zum Einsatz...",0.3416827164236999
82,Könnte man teilen. So rein theoretisch.,0.3368158614589922
518,Der Beweis: Auch in Hollywood zählen noch die inneren Werte.,0.3240787552944661
1232,"Heute ist der internationale Tag der Milch und auch gleichzeitig Weltbauerntag.  Unsere gute Milch ist ein entscheidender Grund, warum Ben & Jerry's so lecker schmeckt. Daher achten wir ganz besonders darauf, dass es unseren Kühen und aber auch unseren Milchbauern gut geht! Wenn Ihr wissen wollt, wie wir das machen, dann findet Ihr hier mehr über das ""Cairing Dairy"" Programm:",0.3162591317286463
463,"COP21 ist eine der wichtigsten Entscheidungen unserer Zeit! Wenn der Klimawandel nicht gestoppt wird, betrifft das jeden von uns.",0.3050573734485979
170,Feiner Schachzug. In Zukunft gibt es dann nur noch geschmolzenes Gletschereis.,0.30427137370728896
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.2897679614571793
1226,"Ben & Jerry's hat für die Umstellung auf Fairtrade-Zutaten den 3. Platz des internationalen Nachhaltigkeitspreises Ecocare gewonnen, der erstmals von der Zeitschrift ""Lebensmittel Praxis"" verliehen wurde! Mehr dazu findet ihr hier: http://www.transfair.org/…/ben-jerrys-3platz-bei-ecocare.ht…",0.2850636237041534
