,message,traditional
108,Cooler als jeder Trend: unsere 12 ältesten Sorten.,0.6450728933733761
232,Alte Eisliebe rostet nicht.,0.6103377599642501
890,Immer schön Eis nach dem anderen!,0.5675372301691781
422,Für unsere neue Erfindung musst du Eis essen völlig neu erlernen!,0.5546504835805601
228,Wir haben ein paar Fundstücke aus längst vergangenen Eiszeiten für euch ausgegraben...,0.5485780970929053
1164,"Hallo Münster! Ihr scheint genau zu wissen, was gut für Kühe ist: schließlich habt Ihr sogar ein ganzes Stadtviertel danach benannt: das Kuhviertel! Grund genug für uns heute vorbeizuschauen und Euch einen Tag lang mit FREE ICE zu beschenken!! Ist zwar schwer vorzustellen, dass allein der Genuss eines Bechers Ben & Jerry's die Welt ein bisschen besser macht - die Geschichte von Ben & Jerry’s aber zeigt: Das ist tatsächlich möglich. Mit Fairtrade zertifizierter Eiskrem, klimaneutraler Produktion und Projekten wie „Caring Dairy“ für unsere Kühe wird die Welt tatsächlich Löffel für Löffel ein kleines bisschen besser. In diesem Sinne: lasst es Euch schmecken! Wo genau wir heute halten erfahrt Ihr hier: http://on.fb.me/FairIceTour",0.5328791147868893
1012,"Morgen verraten wir euch, welche Stadt als Erste in den Genuss unserer neuen Sorten kommt.",0.5321382414146782
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.5275760103300576
255,Wir präsentieren: unsere neue Sorte für eine süßere Welt.  Ab jetzt im Handel #onesweetworld #benandjerrys #gleicheseisfüralle,0.5095458903434504
1218,Hier gibt's bald den Sneak Preview des neuen Ben & Jerry's Kino-Werbespots! Wir haben noch einige Filmrollen des alten Spots übrig - wenn ihr richtig Fan seid und Euch schon immer mal in eine Filmrolle einwickeln wolltet-schreibt uns schnell hier. Die ersten 10 Meldungen erhalten eine Rolle von uns.,0.5041554197602752
1155,"PEACE, Love & geschmolzene Ice Cream… Letzte Woche waren wir in Berlin auf dem World Peace Festival und haben uns mit spannenden Menschen darüber ausgetauscht was wir tun müssen, um die Welt zu einem friedlicheren Ort zu machen. Unser starkes Engagement in Fairtrade sowie die klimaneutrale Produktion sind nur ein kleiner Beitrag hierzu.  Als kleines Extra hatten wir speziell für das Festival eine eigene Sorte kreiert – Imagine Whirled Peace! (Cookie Dough mit Schokoladen - Pe...acezeichen). Leider hat jemand den Klimaschutz etwas zu ernst genommen und nachts unsere Eistruhe ausgesteckt.  Friede fängt oft schon mit so kleinen Dingen wie einem freundlichen Lächeln oder einem kurzen Dankeschön an. Was macht Ihr im Alltag, um die Welt ein bisschen zu verbessern? See more",0.4922057595173231
998,Bist du der nächste Ben&Jerry‘s? Gemeinsam mit Ashoka suchen wir europaweit Nachwuchs-Sozialunternehmer mit einer spannenden Businessidee mit nachhaltiger gesellschaftlicher Wirkung. Dem Gewinner winken unter anderem 10.000€ und sein eigenes Firmenlogo auf einer neuen Ben & Jerry’s Sorte! Alle Infos unter www.benjerry.de!,0.4909827141270387
1138,Tadaaaaaa. Mit stolzgeschwellter Brust und bereits gezücktem Löffel präsentieren wir unsere 3 Neuen…,0.489899593597264
247,"Was die Welt und ein Becher Ben & Jerry's gemeinsam haben? Je bunter, desto schöner.",0.4893031301211299
249,Weil die Welt mehr als nur einen Geschmack braucht.,0.4834121852635841
