,message,design
189,Harte Schale weicher Kern.,0.5150728554203508
264,"Gute Idee, aber machen wir nicht.",0.5149184764846001
170,Feiner Schachzug. In Zukunft gibt es dann nur noch geschmolzenes Gletschereis.,0.4588413519316033
108,Cooler als jeder Trend: unsere 12 ältesten Sorten.,0.4562570448225329
441,Das nennen wir eine ausgewogene Persönlichkeit.,0.44454557547014695
249,Weil die Welt mehr als nur einen Geschmack braucht.,0.4419425140309263
620,So muss ein Winterschlussverkauf aussehen!,0.4365471878902053
1138,Tadaaaaaa. Mit stolzgeschwellter Brust und bereits gezücktem Löffel präsentieren wir unsere 3 Neuen…,0.4347721801834872
404,Das Einzige was leckerer ist als ein 'Wich: Drei 'Wich.,0.4325913142144614
401,So muss ein Sixpack aussehen.,0.4297439646257066
1147,"Heute ist Tag der Menschenrechte! Genau deshalb liegt uns der faire Handel so sehr am Herzen. Und keiner könnte es besser ausdrücken als unser Gründer Jerry Greenfield selbst:  ""Fairtrade bedeutet sicherzustellen, dass jeder sein Stück vom Kuchen abbekommt. Das gesamte Konzept hinter Fairtrade entspricht exakt unseren Werten und unserem Gerechtigkeitsempfinden. Es will doch niemand etwas kaufen, für dessen Herstellung jemand anderes ausgebeutet wurde."" Was denkt ihr?",0.4178119911411765
422,Für unsere neue Erfindung musst du Eis essen völlig neu erlernen!,0.4067151282231129
250,Unsere Welt hat mehr als nur einen Geschmack.,0.4043024486818372
403,Passte fast nicht ins Bild. Alle Zutaten vom neuen Ben & Jerry's Cookie Dough s'Wich up.,0.3978251371482371
75,Nicht nur beim Eis zählen die inneren Werte.,0.38884845167169657
